,keido,ido,age,count,year
0,135.76557642,35.01031102,1930,1,1936
1,135.77735567,35.01842976,1930,1,1937
2,135.76377128,35.00243944,1940,1,1943
3,135.77941143,35.00020081,1940,1,1945
4,135.76837939,34.99449293,1940,1,1946
5,135.77262585,35.00586419,1940,1,1948
6,678.8599660499999,175.02499619999998,9700,5,1949
7,135.77117874,35.00709186,1950,1,1950
8,135.76784327,34.99675662,1950,1,1951
9,271.50803684,69.98349154,3900,2,1952
10,407.27554531,105.02923857,5850,3,1954
11,135.77019753,34.92833279,1950,1,1955
12,678.84585057,175.03074016,9750,5,1956
13,678.8124946,175.10680065000003,9750,5,1957
14,814.6028620299999,210.01233686,11700,6,1958
15,1221.96618219,315.05818076,17550,9,1959
16,407.34743042,105.04283483999998,5880,3,1960
17,407.33137678,104.99771381,5880,3,1961
18,678.8614351,175.06943622,9800,5,1962
19,678.8983456899999,175.0375623,9800,5,1963
20,814.6362785,210.00834838,11760,6,1964
21,135.7754229,35.00207008,1960,1,1965
22,1493.5158250999998,385.07988076000004,21560,11,1967
23,271.54380742,70.01093957,3920,2,1968
24,1086.39434403,280.52530201999997,15680,8,1969
25,1493.02396071,385.08402366,21670,11,1970
26,814.65828503,210.14475098000003,11820,6,1971
27,950.4928342200001,245.28578687000004,13790,7,1972
28,678.7512808,175.26913255,9850,5,1973
29,1086.16878996,280.34638058,15760,8,1974
30,1493.4484232500001,385.48990664,21670,11,1975
31,2172.10222304,560.26084087,31520,16,1976
32,1221.69612038,315.22612144,17730,9,1977
33,1221.7160700700001,315.29832241,17730,9,1978
34,814.52641886,209.98442698,11820,6,1979
35,1764.63506557,455.79320236,25740,13,1980
36,1221.7761416700002,314.79529059000004,17820,9,1981
37,814.5193072900001,210.03839762,11880,6,1982
38,950.42303865,245.24121553999998,13860,7,1983
39,1357.57125513,350.08237376999995,19800,10,1984
40,3122.18118457,805.30461526,45540,23,1985
41,2171.95313134,560.0421297499998,31680,16,1986
42,1086.0048554300001,280.36457621999995,15840,8,1987
43,1221.7921127,315.07687853000004,17820,9,1988
44,2036.3325013200001,525.1930600999999,29700,15,1989
45,543.09468223,140.0176815,7960,4,1990
46,950.21738514,244.95266071,13930,7,1991
47,1086.2285804399999,280.51404155,15920,8,1992
48,1086.0583350499999,280.15413935,15920,8,1993
49,1629.08885216,420.01963215999996,23880,12,1994
50,814.57852869,209.99894358999998,11940,6,1995
51,1900.4003682900002,490.20659279,27860,14,1996
52,1764.78399375,456.0560066,25870,13,1997
53,1493.2991385099997,385.08676191999996,21890,11,1998
54,1629.3512194400002,420.4665109900001,23880,12,1999
55,678.68798478,174.91384601,10000,5,2000
56,950.28460786,244.97697049999996,14000,7,2001
57,1900.68468381,490.21514245000003,28000,14,2002
58,1086.18002174,280.01629116000004,16000,8,2003
59,2308.03941125,595.26641453,34000,17,2004
60,3122.18238171,805.23998881,46000,23,2005
61,2307.9054419,594.90389104,34000,17,2006
62,3122.5119342799994,804.85444421,46000,23,2007
63,2579.44956564,664.98156449,38000,19,2008
64,2715.0663280599997,700.10853674,40000,20,2009
65,5430.156320280001,1399.63433691,80400,40,2010
66,6516.25892427,1680.4074916999996,96480,48,2011
67,5973.460713979999,1540.1973236600008,88440,44,2012
68,6923.846002779998,1785.1116030999997,102510,51,2013
69,9367.28393721,2415.20146831,138690,69,2014
70,22128.77816298001,5706.139350710002,327630,163,2015
71,85119.1716617899,21946.514812189995,1260270,627,2016
72,120552.09814629005,31082.03110789,1784880,888,2017
73,109419.5909306401,28209.80003566999,1620060,806,2018
